text,font_size,bold,italic,y_position,page_number,label,lang
Overview,24.0,1,0,185.6600341796875,0,Title,en
Foundation Level Extensions,24.0,1,0,240.884033203125,0,Other,en
Version 1.0,12.0,0,0,380.3900146484375,0,Other,en
International Software Testing Qualifications Board,18.0,0,0,462.6399841308594,0,Other,en
"<image: DeviceRGB, width: 200, height: 143, bpc: 8>",12.0,0,0,523.800048828125,0,Other,en
Copyright Notice,9.960000038146973,0,0,650.593017578125,0,Other,en
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,0,0,650.593017578125,0,Other,en
International,9.960000038146973,0,0,36.933013916015625,1,Other,en
Overview,12.0,0,0,36.933013916015625,1,Title,en
Software Testing,9.960000038146973,0,0,36.933013916015625,1,Other,en
Foundation Level Extension – Agile Tester,12.0,0,0,56.733001708984375,1,Other,en
Qualifications,9.960000038146973,0,0,56.733001708984375,1,Other,en
"<image: DeviceRGB, width: 200, height: 143, bpc: 8>",12.0,0,0,31.700023651123047,1,Other,en
Board,9.960000038146973,0,0,59.972991943359375,1,Other,en
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,0,0,118.67300415039062,1,Other,en
Version 2014,9.960000038146973,0,0,718.6836547851562,1,Other,en
Page 2 of 12,9.960000038146973,0,0,718.6836547851562,1,Other,en
"May 31, 2014",9.960000038146973,0,0,718.6836547851562,1,Other,en
© International Software Testing Qualifications Board,9.960000038146973,0,0,735.8699951171875,1,Other,en
Qualifications Board,9.960000038146973,0,0,59.972991943359375,2,Other,en
"<image: DeviceRGB, width: 200, height: 143, bpc: 8>",12.0,0,0,31.700023651123047,2,Other,en
International,9.960000038146973,0,0,36.933013916015625,2,Other,en
Overview,12.0,0,0,36.933013916015625,2,Title,en
Software Testing,9.960000038146973,0,0,36.933013916015625,2,Other,en
Foundation Level Extension – Agile Tester,12.0,0,0,56.733001708984375,2,Other,en
Revision History,15.960000038146973,1,0,106.30280303955078,2,Other,en
Version,9.960000038146973,1,0,137.80282592773438,2,Other,en
Date,9.960000038146973,1,0,137.80282592773438,2,Other,en
Remarks,9.960000038146973,1,0,137.80282592773438,2,Other,en
0.1,9.960000038146973,0,0,150.11300659179688,2,Other,en
18 JUNE 2013,9.960000038146973,0,0,150.11300659179688,2,Other,en
Initial version,9.960000038146973,0,0,150.11300659179688,2,Other,en
0.2,9.960000038146973,0,0,162.35299682617188,2,Other,en
23 JULY 2013,9.960000038146973,0,0,162.35299682617188,2,Other,en
WG reviewed and confirmed,9.960000038146973,0,0,162.35299682617188,2,Other,en
0.3,9.960000038146973,0,0,174.59298706054688,2,Other,en
6 NOV 2013,9.960000038146973,0,0,174.59298706054688,2,Other,en
